Model,Value,% Zeros,% Mid (1-3),% High (4-6)
GPT-4o-mini,Reputation,27.3,48.8,24.0
GPT-4o-mini,Power,48.8,33.1,18.2
GPT-4o-mini,Wealth,95.0,0.8,4.1
GPT-4o-mini,Achievement,61.2,19.0,19.8
GPT-4o-mini,Pleasure,71.9,17.4,10.7
GPT-4o-mini,Independent thoughts,46.3,31.4,22.3
GPT-4o-mini,Independent actions,47.9,33.1,19.0
GPT-4o-mini,Stimulation,25.6,61.2,13.2
GPT-4o-mini,Personal security,86.0,6.6,7.4
GPT-4o-mini,Societal security,41.3,13.2,45.5
GPT-4o-mini,Tradition,91.7,0.8,7.4
GPT-4o-mini,Lawfulness,82.6,5.0,12.4
GPT-4o-mini,Respect,62.8,24.0,13.2
GPT-4o-mini,Humility,86.8,10.7,2.5
GPT-4o-mini,Responsibility,56.2,13.2,30.6
GPT-4o-mini,Caring,51.2,12.4,36.4
GPT-4o-mini,Equality,77.7,3.3,19.0
GPT-4o-mini,Nature,88.4,1.7,9.9
GPT-4o-mini,Tolerance,94.2,2.5,3.3
Ministral-14b,Reputation,23.3,47.5,29.2
Ministral-14b,Power,50.0,30.8,19.2
Ministral-14b,Wealth,89.2,6.7,4.2
Ministral-14b,Achievement,42.5,41.7,15.8
Ministral-14b,Pleasure,65.8,26.7,7.5
Ministral-14b,Independent thoughts,49.2,35.0,15.8
Ministral-14b,Independent actions,43.3,45.8,10.8
Ministral-14b,Stimulation,7.5,75.0,17.5
Ministral-14b,Personal security,75.0,14.2,10.8
Ministral-14b,Societal security,43.3,20.0,36.7
Ministral-14b,Tradition,64.2,21.7,14.2
Ministral-14b,Lawfulness,62.5,17.5,20.0
Ministral-14b,Respect,55.0,17.5,27.5
Ministral-14b,Humility,88.3,6.7,5.0
Ministral-14b,Responsibility,36.7,15.0,48.3
Ministral-14b,Caring,33.3,24.2,42.5
Ministral-14b,Equality,56.7,9.2,34.2
Ministral-14b,Nature,85.0,2.5,12.5
Ministral-14b,Tolerance,54.2,26.7,19.2
Qwen3-14B,Reputation,34.7,60.3,5.0
Qwen3-14B,Power,52.1,35.5,12.4
Qwen3-14B,Wealth,86.0,7.4,6.6
Qwen3-14B,Achievement,20.7,62.8,16.5
Qwen3-14B,Pleasure,82.6,12.4,5.0
Qwen3-14B,Independent thoughts,25.6,54.5,19.8
Qwen3-14B,Independent actions,23.1,67.8,9.1
Qwen3-14B,Stimulation,24.0,67.8,8.3
Qwen3-14B,Personal security,74.4,16.5,9.1
Qwen3-14B,Societal security,40.5,28.1,31.4
Qwen3-14B,Tradition,76.9,17.4,5.8
Qwen3-14B,Lawfulness,51.2,28.9,19.8
Qwen3-14B,Respect,34.7,47.1,18.2
Qwen3-14B,Humility,76.0,19.8,4.1
Qwen3-14B,Responsibility,20.7,46.3,33.1
Qwen3-14B,Caring,28.9,39.7,31.4
Qwen3-14B,Equality,44.6,38.0,17.4
Qwen3-14B,Nature,79.3,8.3,12.4
Qwen3-14B,Tolerance,47.9,47.1,5.0
