Model,Value,% Zeros,% Mid (1-3),% High (4-6)
GPT-4o-mini,Reputation,27.3,50.4,22.3
GPT-4o-mini,Power,47.9,32.2,19.8
GPT-4o-mini,Wealth,95.0,0.0,5.0
GPT-4o-mini,Achievement,61.2,23.1,15.7
GPT-4o-mini,Pleasure,77.7,12.4,9.9
GPT-4o-mini,Independent thoughts,50.4,27.3,22.3
GPT-4o-mini,Independent actions,57.9,24.0,18.2
GPT-4o-mini,Stimulation,26.4,62.0,11.6
GPT-4o-mini,Personal security,86.0,6.6,7.4
GPT-4o-mini,Societal security,43.0,12.4,44.6
GPT-4o-mini,Tradition,91.7,2.5,5.8
GPT-4o-mini,Lawfulness,85.1,1.7,13.2
GPT-4o-mini,Respect,66.9,21.5,11.6
GPT-4o-mini,Humility,91.7,6.6,1.7
GPT-4o-mini,Responsibility,59.5,9.9,30.6
GPT-4o-mini,Caring,53.7,11.6,34.7
GPT-4o-mini,Equality,81.0,0.8,18.2
GPT-4o-mini,Nature,86.8,0.8,12.4
GPT-4o-mini,Tolerance,95.9,0.8,3.3
Ministral-14b,Reputation,27.3,44.6,28.1
Ministral-14b,Power,53.7,26.4,19.8
Ministral-14b,Wealth,91.7,3.3,5.0
Ministral-14b,Achievement,47.9,36.4,15.7
Ministral-14b,Pleasure,64.5,28.1,7.4
Ministral-14b,Independent thoughts,50.4,34.7,14.9
Ministral-14b,Independent actions,43.8,47.1,9.1
Ministral-14b,Stimulation,5.8,76.0,18.2
Ministral-14b,Personal security,79.3,9.9,10.7
Ministral-14b,Societal security,49.6,17.4,33.1
Ministral-14b,Tradition,70.2,15.7,14.0
Ministral-14b,Lawfulness,65.3,16.5,18.2
Ministral-14b,Respect,59.5,14.9,25.6
Ministral-14b,Humility,87.6,5.0,7.4
Ministral-14b,Responsibility,38.0,15.7,46.3
Ministral-14b,Caring,39.7,18.2,42.1
Ministral-14b,Equality,56.2,9.1,34.7
Ministral-14b,Nature,83.5,5.8,10.7
Ministral-14b,Tolerance,54.5,28.1,17.4
Qwen3-14B,Reputation,32.2,62.0,5.8
Qwen3-14B,Power,54.5,35.5,9.9
Qwen3-14B,Wealth,88.4,6.6,5.0
Qwen3-14B,Achievement,26.4,57.0,16.5
Qwen3-14B,Pleasure,82.6,12.4,5.0
Qwen3-14B,Independent thoughts,21.5,54.5,24.0
Qwen3-14B,Independent actions,22.3,66.9,10.7
Qwen3-14B,Stimulation,28.1,65.3,6.6
Qwen3-14B,Personal security,76.0,18.2,5.8
Qwen3-14B,Societal security,46.3,19.8,33.9
Qwen3-14B,Tradition,78.5,15.7,5.8
Qwen3-14B,Lawfulness,58.7,22.3,19.0
Qwen3-14B,Respect,36.4,50.4,13.2
Qwen3-14B,Humility,73.6,21.5,5.0
Qwen3-14B,Responsibility,24.0,41.3,34.7
Qwen3-14B,Caring,31.4,38.8,29.8
Qwen3-14B,Equality,48.8,31.4,19.8
Qwen3-14B,Nature,81.0,7.4,11.6
Qwen3-14B,Tolerance,52.1,43.0,5.0
